"","NZDT","Serial.Number","GPS.Heading","GPS.Speed","Heading","Latitude","Longitude","corrected_Heading","variation"
"100",2020-10-16 17:25:11,"002-0009-00281",346,0.785312932,299.0556255,-37.5547012,175.4591349,299.0556255,46.9443745
"101",2020-10-16 17:25:10,"002-0009-00281",347,1.574795832,291.2217976,-37.554708,175.4591373,291.2217976,55.7782024
"102",2020-10-16 17:25:09,"002-0009-00281",350,0.627054988,333.9917525,-37.5547219,175.4591407,333.9917525,16.0082475
"103",2020-10-16 17:25:07,"002-0009-00281",359,1.179167663,337.5769696,-37.5547441,175.4591462,337.5769696,21.4230304
"104",2020-10-16 17:25:06,"002-0009-00281",1,1.123455802,328.9598117,-37.5547547,175.459146,328.9598117,32.0401883
"105",2020-10-16 17:25:05,"002-0009-00281",355,0.88119226,315.9226309,-37.5547648,175.4591461,315.9226309,39.0773691
"106",2020-10-16 17:25:03,"002-0009-00281",355,1.177461082,314.5306206,-37.5547806,175.4591476,314.5306206,40.4693794
"107",2020-10-16 17:25:02,"002-0009-00281",348,1.304911647,315.7757204,-37.5547911,175.4591493,315.7757204,32.2242796
"108",2020-10-16 17:25:01,"002-0009-00281",352,1.218223546,317.9448872,-37.5548025,175.4591528,317.9448872,34.0551128
"109",2020-10-16 17:25:00,"002-0009-00281",358,1.212692745,325.8367137,-37.5548133,175.4591551,325.8367137,32.1632863
"110",2020-10-16 17:24:59,"002-0009-00281",354,1.965545286,326.3777572,-37.5548242,175.4591554,326.3777572,27.6222428
"111",2020-10-16 17:24:58,"002-0009-00281",2,0.973748554,344.5496689,-37.5548418,175.4591574,344.5496689,17.4503311
"112",2020-10-16 17:24:56,"002-0009-00281",3,1.859622739,343.4767437,-37.5548593,175.4591567,343.4767437,19.5232563
"113",2020-10-16 17:24:55,"002-0009-00281",1,0.656978805,345.2506347,-37.554876,175.4591557,345.2506347,15.7493653
"114",2020-10-16 17:24:53,"002-0009-00281",359,1.334757999,335.6640165,-37.5548878,175.459155,335.6640165,23.3359835
"115",2020-10-16 17:24:52,"002-0009-00281",1,1.835482226,338.4193187,-37.5548998,175.459155,338.4193187,22.5806813
"116",2020-10-16 17:24:51,"002-0009-00281",359,1.290296092,344.9819367,-37.5549163,175.4591547,344.9819367,14.0180633
"117",2020-10-16 17:24:50,"002-0009-00281",358,1.890907165,346.1082541,-37.5549279,175.4591546,346.1082541,11.8917459
